Major,Total,Men,Women,Major_category,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,percent employed
COMPUTER SCIENCE,128319,99743,28576,Computers & Mathematics,0.222695002,1196,102087,91485,18726,70932,6884,0.063172771,53000,39000,70000,68622,25667,5144,0.795571973
MATHEMATICS,72397,39956,32441,Computers & Mathematics,0.448098678,541,58118,46399,18079,33738,2884,0.047277138,45000,33000,60000,34800,14829,4569,0.802768071
COMPUTER AND INFORMATION SYSTEMS,36698,27392,9306,Computers & Mathematics,0.253583302,425,28459,26348,4332,21130,2934,0.093460326,45000,30000,60000,13344,11783,1672,0.775491852
INFORMATION SCIENCES,11913,9005,2908,Computers & Mathematics,0.244103081,158,9881,9105,1468,7378,639,0.060741445,45000,32500,58000,4390,4102,608,0.829430034
STATISTICS AND DECISION SCIENCE,6251,2960,3291,Computers & Mathematics,0.526475764,37,4247,3190,1840,2151,401,0.086273666,45000,26700,60000,2298,1200,343,0.679411294
APPLIED MATHEMATICS,4939,2794,2145,Computers & Mathematics,0.434298441,45,3854,3465,1176,2593,385,0.090823307,45000,34000,63000,2437,803,357,0.780319903
MATHEMATICS AND COMPUTER SCIENCE,609,500,109,Computers & Mathematics,0.178981938,7,559,584,0,391,0,0,42000,30000,78000,452,67,25,0.917898194
COMPUTER PROGRAMMING AND DATA PROCESSING,4168,3046,1122,Computers & Mathematics,0.269193858,43,3257,3204,482,2453,419,0.11398259,41300,20000,46000,2024,1033,263,0.781429942
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,8066,6607,1459,Computers & Mathematics,0.180882718,103,6509,6289,1030,4936,721,0.099723375,37500,25000,50000,2354,3244,308,0.806967518
COMPUTER NETWORKING AND TELECOMMUNICATIONS,7613,5291,2322,Computers & Mathematics,0.305004597,97,6144,5495,1447,4369,1100,0.151849807,36400,27000,49000,2593,2941,352,0.807040588
COMMUNICATION TECHNOLOGIES,18035,11431,6604,Computers & Mathematics,0.366176878,208,14779,11981,4690,9085,2006,0.119511469,35000,25000,45000,4545,8794,2495,0.819462157
